epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
0;0.33919221064645877;0.875622;0.491344;0.831568;;;0.493982;14681;0.879734;0.716981;0.991728;0.13387;0.873991;0.478842;0.825869;;;0.31006877903128766;0.474771;3222;0.879706;0.670455;0.989591;0.135321
1;0.32594765872818826;0.882229;0.522607;0.84493;;;0.50226;14681;0.893773;0.670185;0.980306;0.255662;0.88175;0.517224;0.839506;;;0.296854136542901;0.488584;3222;0.895169;0.653631;0.977746;0.268349
2;0.31335095124337337;0.882842;0.520876;0.844525;;;0.498742;14681;0.903812;0.622141;0.967465;0.342224;0.880509;0.515921;0.839734;;;0.29747614187716254;0.5;3222;0.904345;0.60079;0.963747;0.348624
3;0.3127259715592761;0.884749;0.541372;0.853752;;;0.512833;14681;0.893378;0.711621;0.984166;0.249623;0.884233;0.537564;0.845279;;;0.29129459487400317;0.510251;3222;0.895185;0.68639;0.980976;0.266055
4;0.30814220689657834;0.885158;0.549784;0.857018;;;0.521351;14681;0.893031;0.722304;0.98519;0.2461;0.884544;0.544957;0.849423;;;0.288706376293037;0.516055;3222;0.893416;0.707792;0.983848;0.25
5;0.30722885228468666;0.882978;0.549145;0.857175;;;0.516356;14681;0.886588;0.77732;0.991492;0.189733;0.882061;0.544816;0.850649;;;0.2896132671143016;0.511468;3222;0.88632;0.759259;0.990668;0.188073
6;0.3035498653423006;0.886111;0.562682;0.860251;;;0.532931;14681;0.892633;0.744186;0.987002;0.24157;0.883613;0.557151;0.854132;;;0.28531646501437097;0.513761;3222;0.892032;0.707483;0.984566;0.238532
7;0.30349031803872817;0.885294;0.552724;0.859031;;;0.517866;14681;0.893158;0.723122;0.98519;0.247106;0.879888;0.545822;0.852889;;;0.28742846615802126;0.513636;3222;0.892378;0.648485;0.979182;0.245413
8;0.29985868400214627;0.882637;0.556477;0.857689;;;0.525151;14681;0.885245;0.798642;0.992989;0.177655;0.88175;0.550401;0.853654;;;0.2914711842342314;0.522727;3222;0.88678;0.743363;0.989591;0.192661
9;0.29801264287409474;0.887065;0.56133;0.864515;;;0.530684;14681;0.895612;0.72442;0.984087;0.267237;0.883302;0.545712;0.854169;;;0.28853318057052474;0.513761;3222;0.895341;0.672414;0.979541;0.268349
10;0.30102397369874384;0.889313;0.585003;0.870707;;;0.549925;14681;0.896369;0.752089;0.985978;0.271766;0.885785;0.565535;0.858775;;;0.28182801831349463;0.522936;3222;0.896134;0.7;0.981694;0.272936
11;0.29515081809756377;0.88795;0.584296;0.871401;;;0.540241;14681;0.891892;0.792808;0.990468;0.233015;0.886096;0.562251;0.859314;;;0.2826393732117763;0.522936;3222;0.893589;0.731544;0.985642;0.25
12;0.29490863412819607;0.888155;0.582449;0.871375;;;0.543533;14681;0.895562;0.742616;0.985584;0.265727;0.887027;0.553015;0.855918;;;0.28416981458349455;0.511468;3222;0.897049;0.709302;0.982053;0.279816
13;0.2928937551245174;0.890811;0.596898;0.877284;;;0.552658;14681;0.898584;0.75;0.984875;0.289884;0.887337;0.558963;0.857912;;;0.28280785332030944;0.517007;3222;0.898389;0.701658;0.980617;0.291284
14;0.28954336320917057;0.888904;0.582772;0.870094;;;0.540975;14681;0.893785;0.780757;0.98905;0.249119;0.887958;0.553719;0.856343;;;0.2846786139901753;0.511468;3222;0.893797;0.762238;0.987796;0.25
15;0.2903609679583334;0.887337;0.586505;0.872581;;;0.546553;14681;0.889996;0.815939;0.992359;0.216407;0.884854;0.557153;0.858751;;;0.28555431120296504;0.516055;3222;0.889642;0.764228;0.989591;0.215596
16;0.29148292551044874;0.89231;0.593426;0.877051;;;0.546049;14681;0.89995;0.757614;0.984954;0.300453;0.888579;0.560325;0.856171;;;0.28202328293091167;0.526316;3222;0.900363;0.701571;0.979541;0.307339
