epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
0;0.35133412219982374;0.870513;0.455307;0.810065;;;0.463047;14681;0.905356;0.531433;0.949504;0.365878;0.869646;0.456063;0.80433;;;0.32404284375302916;0.463303;3222;0.907369;0.525157;0.9458;0.383028
1;0.3321752516823937;0.877529;0.476328;0.818092;;;0.479679;14681;0.887482;0.652174;0.982984;0.203825;0.878957;0.469502;0.810383;;;0.31438027182160366;0.461009;3222;0.889467;0.657534;0.982053;0.220183
2;0.32542106662270126;0.878891;0.488881;0.82357;;;0.481146;14681;0.897524;0.609884;0.970774;0.291897;0.874302;0.478376;0.816894;;;0.31268589177315165;0.481818;3222;0.897496;0.568282;0.964824;0.295872
3;0.3240035969834283;0.879981;0.497291;0.82658;;;0.489683;14681;0.887056;0.701252;0.986844;0.197282;0.878336;0.492445;0.818769;;;0.30920382099333643;0.485261;3222;0.88763;0.664179;0.983848;0.204128
4;0.3223761025541899;0.879368;0.501517;0.828288;;;0.494726;14681;0.897171;0.616129;0.971876;0.288374;0.877095;0.495478;0.820207;;;0.3080791925825294;0.486239;3222;0.898865;0.588496;0.966619;0.305046
5;0.32080780183133273;0.881275;0.509132;0.831528;;;0.497232;14681;0.887481;0.721818;0.987947;0.199799;0.878026;0.495505;0.818411;;;0.3111329754730103;0.481481;3222;0.887092;0.664122;0.984207;0.199541
6;0.31594391838939173;0.882024;0.512545;0.835187;;;0.495726;14681;0.892509;0.677824;0.981802;0.24459;0.879268;0.503562;0.824919;;;0.305810187384255;0.491228;3222;0.893855;0.631285;0.97631;0.259174
7;0.31681201872397763;0.879027;0.504704;0.833009;;;0.499246;14681;0.90443;0.58918;0.961714;0.35078;0.876164;0.493437;0.821685;;;0.309272636470404;0.486301;3222;0.904988;0.567273;0.957286;0.357798
8;0.3151762908808372;0.881275;0.511122;0.833125;;;0.501258;14681;0.89623;0.641531;0.975658;0.278309;0.877095;0.497362;0.820464;;;0.306773341077592;0.475446;3222;0.898333;0.59009;0.967337;0.300459
9;0.31192885638278023;0.883182;0.518641;0.838116;;;0.506012;14681;0.897876;0.653846;0.975894;0.290891;0.878957;0.499418;0.82237;;;0.3072738996357151;0.493119;3222;0.898802;0.605505;0.969131;0.302752
10;0.3122098512580131;0.881752;0.514887;0.834222;;;0.497487;14681;0.896454;0.645761;0.975973;0.279819;0.877716;0.502069;0.821387;;;0.30686307450135547;0.483945;3222;0.896815;0.600962;0.970208;0.286697
11;0.3112573357687587;0.883046;0.526957;0.840778;;;0.507297;14681;0.89896;0.646104;0.97424;0.300453;0.880199;0.501443;0.825607;;;0.30583271103975274;0.494279;3222;0.90107;0.608696;0.967696;0.321101
12;0.31093491187376127;0.883727;0.525996;0.841628;;;0.506794;14681;0.90043;0.64553;0.973137;0.312531;0.879578;0.506399;0.828953;;;0.30353947108684304;0.496583;3222;0.901003;0.603448;0.966978;0.321101
13;0.31068072507068983;0.883182;0.522238;0.839357;;;0.508262;14681;0.899265;0.645923;0.974004;0.302969;0.876785;0.5031;0.825124;;;0.3071363520855344;0.494279;3222;0.900436;0.58159;0.964106;0.318807
14;0.3121764981909479;0.885226;0.536124;0.847616;;;0.51233;14681;0.896721;0.687345;0.980148;0.278812;0.879888;0.5119;0.830426;;;0.3031421576335813;0.496583;3222;0.898373;0.616114;0.970926;0.298165
15;0.3071532134309499;0.884408;0.530116;0.84339;;;0.504771;14681;0.901732;0.645875;0.97227;0.3231;0.875854;0.495763;0.826093;;;0.3039871625819612;0.487414;3222;0.901413;0.572;0.961594;0.327982
16;0.31270039467652716;0.883727;0.530585;0.842697;;;0.509814;14681;0.894847;0.682292;0.980778;0.263714;0.879888;0.50131;0.828763;;;0.30415358533591386;0.490868;3222;0.894962;0.632432;0.975592;0.268349
17;0.3120938006025469;0.88434;0.53536;0.846789;;;0.508304;14681;0.894178;0.697135;0.982511;0.257172;0.882682;0.517815;0.833865;;;0.29877230221628776;0.488532;3222;0.896574;0.655914;0.977028;0.279816
18;0.3106947197134089;0.884749;0.536133;0.84591;;;0.510235;14681;0.90124;0.651905;0.973373;0.318571;0.880199;0.51572;0.834596;;;0.2989000119153274;0.502283;3222;0.902145;0.605042;0.96626;0.330275
19;0.3091324146929107;0.886316;0.540341;0.848383;;;0.512833;14681;0.896611;0.703325;0.981724;0.276799;0.88144;0.517521;0.83454;;;0.29797062666741014;0.496599;3222;0.897224;0.637755;0.974515;0.286697
20;0.3069071084717435;0.885839;0.541549;0.850546;;;0.51384;14681;0.901823;0.660144;0.974004;0.322597;0.880509;0.514175;0.836866;;;0.29736554544490734;0.493119;3222;0.902717;0.605809;0.965901;0.334862
21;0.30610169649761565;0.886997;0.545023;0.851209;;;0.516097;14681;0.899154;0.691142;0.979124;0.29844;0.883302;0.523866;0.837773;;;0.29572108221453663;0.5;3222;0.901667;0.635135;0.970926;0.323394
22;0.30328014363424305;0.886452;0.551202;0.852717;;;0.519879;14681;0.894752;0.72409;0.984481;0.260191;0.883613;0.527977;0.838456;;;0.29533859114795646;0.497706;3222;0.895895;0.672316;0.979182;0.272936
23;0.3057986442845927;0.886248;0.551215;0.853516;;;0.520439;14681;0.902042;0.663234;0.97424;0.324107;0.882992;0.519848;0.841359;;;0.2953177437898463;0.486239;3222;0.904602;0.620408;0.966619;0.348624
24;0.30511364346072833;0.887133;0.54957;0.853182;;;0.524912;14681;0.90284;0.668024;0.974319;0.330146;0.883302;0.521798;0.842757;;;0.29443233667379726;0.497706;3222;0.905178;0.620968;0.96626;0.353211
25;0.3019050855531996;0.887746;0.555022;0.853579;;;0.525415;14681;0.899754;0.695954;0.979282;0.302969;0.884233;0.52528;0.840283;;;0.294173268350402;0.502294;3222;0.900964;0.647887;0.97308;0.316514
26;0.3052034237378341;0.885362;0.555143;0.853848;;;0.527163;14681;0.907302;0.630584;0.966126;0.369401;0.878336;0.520519;0.835967;;;0.29978305960223217;0.504587;3222;0.907975;0.576389;0.95621;0.380734
27;0.3045263839548741;0.888563;0.552014;0.854184;;;0.518369;14681;0.900536;0.700114;0.979282;0.309009;0.88113;0.523449;0.835251;;;0.2972593048736592;0.495413;3222;0.899568;0.623256;0.970926;0.307339
28;0.30127044426001076;0.886792;0.556011;0.856117;;;0.521892;14681;0.903807;0.659158;0.972586;0.338702;0.882371;0.522202;0.835327;;;0.2972588941991366;0.5;3222;0.904538;0.615385;0.965901;0.348624
29;0.30018820984502326;0.883114;0.551923;0.856962;;;0.526422;14681;0.913702;0.595895;0.955018;0.423754;0.869336;0.515366;0.840542;;;0.31103173716885196;0.489703;3222;0.911877;0.521368;0.939698;0.419725
30;0.30232458143759494;0.884817;0.555588;0.855843;;;0.525415;14681;0.910101;0.616904;0.961793;0.393055;0.880819;0.525691;0.838486;;;0.2994298009140605;0.509174;3222;0.911866;0.584967;0.954415;0.41055
31;0.2985841751679211;0.888836;0.564305;0.85993;;;0.524912;14681;0.903017;0.685475;0.976288;0.330146;0.882682;0.52693;0.839538;;;0.2943028275971084;0.493119;3222;0.902945;0.623932;0.968414;0.334862
32;0.29760732279308777;0.887269;0.564176;0.859789;;;0.526925;14681;0.907013;0.648214;0.968962;0.365375;0.879578;0.515591;0.838102;;;0.29905909198104486;0.490868;3222;0.907823;0.585106;0.958004;0.37844
33;0.2998722064551216;0.8887;0.562526;0.859025;;;0.529175;14681;0.904595;0.674235;0.974004;0.343734;0.876785;0.510724;0.836482;;;0.30143053670576236;0.489703;3222;0.903139;0.57529;0.960517;0.341743
34;0.29736440567511985;0.887269;0.564808;0.859183;;;0.530653;14681;0.908761;0.640917;0.966677;0.37997;0.877716;0.520611;0.839985;;;0.2996176249589852;0.495413;3222;0.907913;0.572414;0.955492;0.380734
35;0.2997888078924892;0.886111;0.567536;0.860006;;;0.533468;14681;0.913987;0.615047;0.958484;0.423754;0.87275;0.515582;0.838688;;;0.30605408629318115;0.488532;3222;0.911357;0.538922;0.944724;0.412844
36;0.29767134284954466;0.891016;0.573915;0.863097;;;0.535984;14681;0.903947;0.703899;0.977864;0.336185;0.882371;0.52635;0.842523;;;0.2933935259164194;0.503401;3222;0.904266;0.616326;0.96626;0.34633
37;0.2980803809921731;0.890539;0.575155;0.864032;;;0.532461;14681;0.906683;0.680952;0.97361;0.359839;0.882682;0.524379;0.843401;;;0.294304258006837;0.497706;3222;0.906482;0.611538;0.963747;0.364679
38;0.2970532317472728;0.891016;0.580754;0.865959;;;0.539035;14681;0.902015;0.719139;0.980463;0.319577;0.884854;0.532341;0.843333;;;0.2923652965096788;0.502294;3222;0.903172;0.643172;0.970926;0.334862
39;0.2962944405601895;0.889313;0.570425;0.862295;;;0.530951;14681;0.906142;0.671727;0.972743;0.356316;0.880819;0.516464;0.836115;;;0.29980479354705963;0.486607;3222;0.906292;0.597744;0.961594;0.364679
40;0.29740995315403634;0.885839;0.570472;0.862692;;;0.530622;14681;0.910507;0.623315;0.962581;0.395571;0.877716;0.521945;0.838875;;;0.30293807503897385;0.501144;3222;0.910997;0.567308;0.951543;0.405963
41;0.29563497215830153;0.889858;0.577169;0.866117;;;0.542023;14681;0.905128;0.683168;0.974791;0.347257;0.882061;0.524887;0.841793;;;0.29539723951926816;0.492099;3222;0.904234;0.613821;0.965901;0.34633
42;0.2961540333534635;0.877733;0.559774;0.861243;;;0.522396;14681;0.917298;0.559186;0.943674;0.456467;0.86406;0.508071;0.836131;;;0.313530089630798;0.475973;3222;0.915428;0.497475;0.928571;0.451835
43;0.29613272502879323;0.881411;0.563117;0.860817;;;0.535211;14681;0.915169;0.58255;0.951;0.436839;0.865611;0.506217;0.832599;;;0.31136160346197833;0.481651;3222;0.912084;0.504087;0.934673;0.424312
44;0.29742183201431144;0.88795;0.572107;0.864346;;;0.535481;14681;0.908587;0.647414;0.96778;0.377957;0.88144;0.523609;0.838558;;;0.29795853055037747;0.496568;3222;0.908566;0.596429;0.95944;0.383028
45;0.2976768778086543;0.881616;0.561559;0.859835;;;0.527163;14681;0.914122;0.585685;0.952576;0.428284;0.871198;0.519556;0.839552;;;0.3047749822985897;0.493119;3222;0.91321;0.529745;0.940416;0.428899
