epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.30990578305030964;0.901037;0.053189;0.372769;0.802013;;;-0.048583001747846605;0.963907;0.000962;0.392781;4628;0.004538;0.901454;0.809524;0.101772;0.999038;0.036093;0.899633;0.056037;0.413397;0.836036;;;-0.04555399868822098;0.963855;0.002725;0.2811817013848951;0.445783;817;0.00612;0.901478;0.6;0.101591;0.997275;0.036145
1;0.29137918113528805;0.902334;0.077155;0.403806;0.81208;;;-0.02461699853849411;0.936306;0.002646;0.42616;4628;0.008859;0.903859;0.731707;0.101772;0.997354;0.063694;0.902081;0.081036;0.443088;0.846164;;;-0.020554998556137086;0.939759;0.002725;0.2558699867743976;0.493976;817;0.008568;0.903704;0.714286;0.101591;0.997275;0.060241
2;0.2848227600097759;0.90363;0.074602;0.423556;0.833875;;;-0.027169999584674837;0.893843;0.006014;0.452229;4628;0.016206;0.907533;0.666667;0.101772;0.993986;0.106157;0.906977;0.07654;0.488132;0.858261;;;-0.02505099926328659;0.891566;0.002725;0.2522115043707584;0.518072;817;0.013464;0.908189;0.818182;0.101591;0.997275;0.108434
3;0.27883687064811497;0.90471;0.085109;0.435195;0.850033;;;-0.016662997111797334;0.881104;0.006255;0.44586;4628;0.017718;0.908711;0.682927;0.101772;0.993746;0.118896;0.906977;0.087894;0.507343;0.863054;;;-0.013696999886989594;0.879518;0.004087;0.24004840892779492;0.518072;817;0.015912;0.909204;0.769231;0.101591;0.995913;0.120482
4;0.2686149254859833;0.905791;0.080677;0.447194;0.845085;;;-0.021094997331619264;0.868365;0.006495;0.452229;4628;0.019231;0.909892;0.696629;0.101772;0.993505;0.131635;0.908201;0.086589;0.495068;0.87919;;;-0.01500199888086319;0.855422;0.00545;0.23431322330123353;0.481928;817;0.019584;0.911361;0.75;0.101591;0.99455;0.144578
5;0.26716574791145925;0.907952;0.094927;0.458921;0.857961;;;-0.0068450019807815565;0.832272;0.008179;0.471338;4628;0.024417;0.913178;0.699115;0.101772;0.991821;0.167728;0.911873;0.097915;0.517267;0.872952;;;-0.003675998786449433;0.819277;0.00545;0.23135601228497457;0.493976;817;0.023256;0.914787;0.789474;0.101591;0.99455;0.180723
6;0.26757193702879195;0.906655;0.074739;0.470393;0.868152;;;-0.0270329983086586;0.864119;0.006014;0.481953;4628;0.019231;0.910333;0.719101;0.101772;0.993986;0.135881;0.909425;0.076663;0.539754;0.886461;;;-0.024927997628211976;0.843373;0.00545;0.22877865395026517;0.518072;817;0.020808;0.9125;0.764706;0.101591;0.99455;0.156627
7;0.2672488230732153;0.910977;0.104874;0.465541;0.85217;;;0.003101999953269957;0.796178;0.008901;0.468354;4628;0.028738;0.916574;0.721804;0.101772;0.991099;0.203822;0.908201;0.10887;0.515899;0.888382;;;0.007278999647140502;0.819277;0.009537;0.23064033678907223;0.518072;817;0.026928;0.914465;0.681818;0.101591;0.990463;0.180723
8;0.2596897557989574;0.907736;0.097518;0.47996;0.867379;;;-0.00425400297355652;0.832272;0.00842;0.481953;4628;0.024633;0.913159;0.692982;0.101772;0.99158;0.167728;0.909425;0.099848;0.494525;0.888004;;;-0.0017429978046417244;0.819277;0.008174;0.22716130994059683;0.493976;817;0.025704;0.914573;0.714286;0.101591;0.991826;0.180723
9;0.2669788267859479;0.909248;0.087467;0.48557;0.870772;;;-0.014305000111579896;0.81104;0.009141;0.483051;4628;0.027442;0.91513;0.700787;0.101772;0.990859;0.18896;0.914321;0.089866;0.539665;0.893257;;;-0.011725002566337586;0.795181;0.00545;0.22177641578885013;0.518072;817;0.025704;0.917085;0.809524;0.101591;0.99455;0.204819
10;0.25725600238351753;0.911841;0.088492;0.479182;0.870796;;;-0.013280001387119295;0.766454;0.011306;0.480932;4628;0.033924;0.919257;0.700637;0.101772;0.988694;0.233546;0.914321;0.091389;0.52084;0.887528;;;-0.010201999584197999;0.759036;0.009537;0.2222085177392278;0.5;817;0.033048;0.920253;0.740741;0.101591;0.990463;0.240964
11;0.26506285529258494;0.909896;0.080165;0.48518;0.870099;;;-0.02160700123023987;0.81104;0.00842;0.473573;4628;0.026793;0.915187;0.717742;0.101772;0.99158;0.18896;0.909425;0.0829;0.525083;0.887676;;;-0.01869099740123749;0.819277;0.008174;0.2255088675999729;0.493976;817;0.025704;0.914573;0.714286;0.101591;0.991826;0.180723
12;0.2603199772936008;0.911625;0.089367;0.498983;0.874181;;;-0.012404997751235963;0.789809;0.008901;0.475584;4628;0.029386;0.917186;0.727941;0.101772;0.991099;0.210191;0.910649;0.092762;0.481155;0.885115;;;-0.008828999141216279;0.795181;0.009537;0.22511639174032896;0.5;817;0.029376;0.916772;0.708333;0.101591;0.990463;0.204819
13;0.2610962807797314;0.906439;0.07675;0.495714;0.875087;;;-0.025021997198581697;0.874735;0.005052;0.47983;4628;0.017286;0.909411;0.7375;0.101772;0.994948;0.125265;0.905753;0.079627;0.510674;0.880815;;;-0.02196400020456314;0.879518;0.00545;0.23132358082869936;0.493976;817;0.017136;0.909091;0.714286;0.101591;0.99455;0.120482
14;0.25749227617744136;0.909896;0.081076;0.498391;0.876788;;;-0.020695996388912202;0.813163;0.008179;0.477707;4628;0.026361;0.915002;0.721311;0.101772;0.991821;0.186837;0.913097;0.083643;0.506424;0.885936;;;-0.017948003152370454;0.771084;0.009537;0.22553580291250053;0.506024;817;0.031824;0.91909;0.730769;0.101591;0.990463;0.228916
15;0.25353057810339624;0.908816;0.077734;0.507446;0.876104;;;-0.024037999019145967;0.859873;0.004089;0.490446;4628;0.017934;0.910891;0.795181;0.101772;0.995911;0.140127;0.906977;0.081486;0.533196;0.893044;;;-0.02010499838924408;0.86747;0.00545;0.22399573341796272;0.559524;817;0.01836;0.910224;0.733333;0.101591;0.99455;0.13253
16;0.25350707489594676;0.909464;0.085731;0.519281;0.884662;;;-0.016041000291824342;0.836518;0.006014;0.498938;4628;0.02204;0.912947;0.754902;0.101772;0.993986;0.163482;0.908201;0.089279;0.521338;0.885706;;;-0.01231199655866623;0.843373;0.006812;0.22483722246827664;0.53012;817;0.022032;0.91239;0.722222;0.101591;0.993188;0.156627
17;0.25381384710254035;0.911193;0.090043;0.522721;0.884114;;;-0.011728999123096467;0.815287;0.006495;0.509554;4628;0.024633;0.914931;0.763158;0.101772;0.993505;0.184713;0.908201;0.094224;0.508632;0.885559;;;-0.007367001513004304;0.807229;0.010899;0.22412037548028854;0.535714;817;0.029376;0.915511;0.666667;0.101591;0.989101;0.192771
