epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.3215833717607792;0.902118;0.090461;0.330489;0.759547;;;-0.01131099919986725;0.936306;0.002887;0.343949;4628;0.009075;0.903838;0.714286;0.101772;0.997113;0.063694;0.903305;0.092686;0.415749;0.804389;;;-0.008905002513885499;0.927711;0.002725;0.2713679798002123;0.447059;817;0.009792;0.904821;0.75;0.101591;0.997275;0.072289
1;0.2985824616489064;0.901685;0.083665;0.337737;0.771542;;;-0.018107001587867738;0.92569;0.004571;0.363057;4628;0.011668;0.904679;0.648148;0.101772;0.995429;0.07431;0.905753;0.085047;0.426743;0.80654;;;-0.016544000843524934;0.915663;0.001362;0.26961232298207694;0.472527;817;0.009792;0.906057;0.875;0.101591;0.998638;0.084337
2;0.2976974511813685;0.901037;0.094872;0.351873;0.784745;;;-0.006900002166748048;0.953291;0.002165;0.386892;4628;0.006698;0.902328;0.709677;0.101772;0.997835;0.046709;0.902081;0.097058;0.453351;0.814402;;;-0.0045330018196105965;0.951807;0.001362;0.2658449242044254;0.5;817;0.00612;0.902709;0.8;0.101591;0.998638;0.048193
3;0.29657018359496146;0.904278;0.09939;0.354718;0.783947;;;-0.0023819998950958265;0.806794;0.015155;0.382166;4628;0.033276;0.915065;0.590909;0.101772;0.984845;0.193206;0.909425;0.103745;0.457207;0.808247;;;0.0021539985742568962;0.807229;0.009537;0.2582125624178965;0.506024;817;0.028152;0.915617;0.695652;0.101591;0.990463;0.192771
4;0.2955954640511304;0.902982;0.116245;0.36129;0.788781;;;0.014473001554489134;0.859873;0.010585;0.391949;4628;0.023768;0.910359;0.6;0.101772;0.989415;0.140127;0.909425;0.11954;0.464218;0.817143;;;0.017948998471736907;0.855422;0.004087;0.2631757812645181;0.505882;817;0.01836;0.911471;0.8;0.101591;0.995913;0.144578
5;0.28971916743672504;0.901469;0.063651;0.374855;0.806107;;;-0.038120997056484224;0.934183;0.003849;0.394904;4628;0.010156;0.903951;0.659574;0.101772;0.996151;0.065817;0.903305;0.06524;0.469455;0.825909;;;-0.036350996831417084;0.927711;0.002725;0.2644069945460215;0.506024;817;0.009792;0.904821;0.75;0.101591;0.997275;0.072289
6;0.282962919373062;0.903846;0.077442;0.382255;0.809664;;;-0.024330002173900606;0.881104;0.007217;0.401274;4628;0.018583;0.908631;0.651163;0.101772;0.992783;0.118896;0.909425;0.079983;0.489613;0.838777;;;-0.021607996562480927;0.855422;0.004087;0.2524855564162591;0.489362;817;0.01836;0.911471;0.8;0.101591;0.995913;0.144578
7;0.27803806711371437;0.898876;0.071817;0.384843;0.81406;;;-0.029954996809482576;0.983015;0.001203;0.412863;4628;0.002809;0.899675;0.615385;0.101772;0.998797;0.016985;0.902081;0.07426;0.482347;0.832721;;;-0.02733100358581543;0.951807;0.001362;0.2590322784276969;0.518072;817;0.00612;0.902709;0.8;0.101591;0.998638;0.048193
8;0.2751723279791756;0.898444;0.065427;0.411459;0.83858;;;-0.03634500215959549;0.991507;0.000722;0.421053;4628;0.001513;0.89894;0.571429;0.101772;0.999278;0.008493;0.900857;0.067521;0.501102;0.863219;;;-0.034070001581668855;0.963855;0.001362;0.24948033358961016;0.506024;817;0.004896;0.901599;0.75;0.101591;0.998638;0.036145
9;0.2723130331686219;0.901253;0.085359;0.421411;0.845859;;;-0.016413000330448152;0.957537;0.001443;0.433121;4628;0.005618;0.901999;0.769231;0.101772;0.998557;0.042463;0.903305;0.087148;0.491371;0.861167;;;-0.01444299671983719;0.939759;0.001362;0.24380763838092728;0.506024;817;0.007344;0.903822;0.833333;0.101591;0.998638;0.060241
