epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.31887485598219606;0.898228;0.08566;0.338024;0.756354;;;-0.01611199687433243;1.0;0.0;0.376016;4628;0.0;0.898228;nan;0.101772;1.0;0.0;0.898409;0.089145;0.388497;0.817275;;;-0.012446002701282502;1.0;0.0;0.2735159723145142;0.428571;817;0.0;0.898409;nan;0.101591;1.0;0.0
1;0.30129285800683675;0.902766;0.093885;0.351137;0.776659;;;-0.007887002930164339;0.927813;0.003127;0.380042;4628;0.010156;0.904606;0.723404;0.101772;0.996873;0.072187;0.903305;0.098356;0.425853;0.83121;;;-0.0032349989209175117;0.927711;0.002725;0.2632048166467554;0.453488;817;0.009792;0.904821;0.75;0.101591;0.997275;0.072289
2;0.293680972153242;0.905143;0.091877;0.370173;0.785041;;;-0.009895001456260683;0.874735;0.006495;0.401691;4628;0.018583;0.909291;0.686047;0.101772;0.993505;0.125265;0.913097;0.096361;0.423275;0.834411;;;-0.005230003634452821;0.831325;0.002725;0.2603534258756162;0.464286;817;0.019584;0.913858;0.875;0.101591;0.997275;0.168675
3;0.2890586968231222;0.906007;0.117114;0.386269;0.79635;;;0.015342000022411345;0.876858;0.005292;0.410822;4628;0.017286;0.909191;0.725;0.101772;0.994708;0.123142;0.909425;0.120686;0.431714;0.83451;;;0.01909500207567215;0.86747;0.002725;0.2676805049874062;0.456522;817;0.015912;0.910448;0.846154;0.101591;0.997275;0.13253
4;0.2871658337803987;0.905791;0.106088;0.397805;0.798045;;;0.004315997555732726;0.836518;0.010103;0.424628;4628;0.025713;0.912619;0.647059;0.101772;0.989897;0.163482;0.911873;0.110761;0.444295;0.836906;;;0.009170001706123351;0.819277;0.00545;0.2554458401176162;0.46988;817;0.023256;0.914787;0.789474;0.101591;0.99455;0.180723
5;0.28310326197689323;0.906223;0.075891;0.404306;0.806966;;;-0.025880996987342836;0.849257;0.008179;0.426752;4628;0.022688;0.911563;0.67619;0.101772;0.991821;0.150743;0.910649;0.078672;0.457637;0.840961;;;-0.022919000724315644;0.855422;0.002725;0.2573238788890758;0.45977;817;0.017136;0.911582;0.857143;0.101591;0.997275;0.144578
6;0.2812369980896817;0.905791;0.074803;0.412944;0.815644;;;-0.026968997821331026;0.902335;0.002646;0.435244;4628;0.012316;0.907023;0.807018;0.101772;0.997354;0.097665;0.908201;0.078014;0.455724;0.849184;;;-0.023576998749732972;0.879518;0.002725;0.25675228692709745;0.481928;817;0.014688;0.909317;0.833333;0.101591;0.997275;0.120482
7;0.2846695678686931;0.904278;0.107665;0.419413;0.820349;;;0.005893002346038817;0.787686;0.01732;0.435244;4628;0.037165;0.916741;0.581395;0.101772;0.98268;0.212314;0.915545;0.112181;0.475705;0.848872;;;0.010590000411510467;0.771084;0.006812;0.25334702617736166;0.46988;817;0.029376;0.919294;0.791667;0.101591;0.993188;0.228916
8;0.27970411284611774;0.906655;0.101546;0.426198;0.818523;;;-0.00022600303602218763;0.823779;0.010585;0.433404;4628;0.027442;0.913797;0.653543;0.101772;0.989415;0.176221;0.915545;0.106066;0.480919;0.846689;;;0.004475003441810607;0.783133;0.00545;0.24945445300844776;0.465116;817;0.026928;0.918239;0.818182;0.101591;0.99455;0.216867
9;0.2794575199304517;0.905791;0.06637;0.434856;0.828066;;;-0.035401997074604036;0.898089;0.003127;0.458599;4628;0.013181;0.907379;0.786885;0.101772;0.996873;0.101911;0.906977;0.068719;0.470611;0.848643;;;-0.03287200037574768;0.891566;0.002725;0.2545421434773846;0.440476;817;0.013464;0.908189;0.818182;0.101591;0.997275;0.108434
