epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_nb;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_rec0;val_rec1
0;0.3548231609990353;0.86724335;0.4395569668683026;0.7955638307260943;0.45697030699547053;14681;0.8673504;0.83928573;0.999291;0.02365375;0.8665425;0.4348254552871537;0.7913198034734616;0.3297542846772628;0.44954128440366975;3222;0.86743605;0.6875;0.9982053;0.025229357
1;0.33629575148849056;0.87507665;0.45787541819061695;0.8016024911887882;0.47710115752390536;14681;0.90443915;0.5609562;0.9565937;0.35430297;0.86778396;0.447014606876513;0.797716465683595;0.32255961863910243;0.46788990825688076;3222;0.9019074;0.5174825;0.95046663;0.3394495
2;0.330856699325227;0.8749404;0.4606404706085495;0.8052149512242369;0.47710115752390536;14681;0.8822163;0.6582809;0.9871593;0.15802717;0.87368095;0.45098126802517874;0.8063029762179177;0.3192568108171206;0.4726027397260274;3222;0.8813722;0.6407767;0.9867193;0.15137614
3;0.3291167743982618;0.8781418;0.4748357623982125;0.8087866151253036;0.4781077000503271;14681;0.8862364;0.6755319;0.9855837;0.19174635;0.8792675;0.4744881713710101;0.8068109222389799;0.3176974423419312;0.46938775510204084;3222;0.88648826;0.6942149;0.9867193;0.19266056
4;0.32836162732168955;0.8784824;0.47644916142677796;0.8078307605073437;0.48020050125313285;14681;0.8918822;0.63337713;0.9780211;0.24257675;0.8767846;0.47740209560486674;0.8048318262347122;0.31755157940732553;0.46938775510204084;3222;0.8925403;0.6089386;0.9748744;0.25
5;0.32551516542717024;0.87637085;0.4738975299610802;0.8081276524921047;0.47585513078470826;14681;0.9056604;0.5676101;0.95667243;0.36336187;0.87088764;0.4749189218374524;0.8032536535890461;0.3195595530195313;0.4771689497716895;3222;0.9058219;0.5331126;0.9493898;0.36926606
6;0.3243140465899714;0.879436;0.4812483392972059;0.8119337653151028;0.48215183509301157;14681;0.89238507;0.64257556;0.97857255;0.24609965;0.8758535;0.47893442853849;0.8075180950624683;0.31413917804933494;0.4752252252252252;3222;0.8921762;0.6;0.9741565;0.24770643
7;0.3235737374842199;0.877665;0.48311321520342343;0.8121088041229707;0.48465022647206846;14681;0.8849251;0.68190473;0.9868442;0.18017112;0.8792675;0.48559675577651795;0.8081989238459664;0.3203275122400547;0.47165532879818595;3222;0.8857419;0.70434785;0.9877961;0.18577981
8;0.3227032382054157;0.88113886;0.4874105804171113;0.8160098304014696;0.48465022647206846;14681;0.89512813;0.6464891;0.976997;0.26874685;0.8761639;0.48918041582673844;0.8118483966358662;0.3125315032746761;0.4783599088838269;3222;0.8929865;0.6;0.9734386;0.25458714
9;0.3204373589591056;0.875894;0.48949544585190957;0.8179886213277431;0.48872180451127817;14681;0.8798211;0.72357726;0.9919647;0.13437343;0.87647426;0.4841330894484512;0.8139345153025942;0.3148018631096733;0.4840182648401826;3222;0.8807398;0.7209302;0.9913855;0.14220184
10;0.3199284468611209;0.88018525;0.48859269253589294;0.8182380169383647;0.48616004026170107;14681;0.89157057;0.6587744;0.98069954;0.2380473;0.87647426;0.4800898468178409;0.8128264191205044;0.31147432146902637;0.4875283446712018;3222;0.8901961;0.61728394;0.9777459;0.2293578
