epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.31824233534270147;0.901685;0.089735;0.319425;0.751481;;;-0.012036998674392702;0.861996;0.011787;0.355932;4628;0.024633;0.910058;0.570175;0.101772;0.988213;0.138004;0.903305;0.092353;0.398015;0.78548;;;-0.009237998763084412;0.86747;0.009537;0.2679571390990966;0.455556;817;0.022032;0.909887;0.611111;0.101591;0.990463;0.13253
1;0.29806817563487314;0.898444;0.092285;0.33672;0.772313;;;-0.009487000212192537;0.995754;0.000241;0.382166;4628;0.000648;0.898595;0.666667;0.101772;0.999759;0.004246;0.899633;0.09454;0.420633;0.809379;;;-0.007051000038146973;0.987952;0.0;0.27219544390314504;0.5;817;0.001224;0.89951;1.0;0.101591;1.0;0.012048
2;0.29593900113319055;0.899309;0.079841;0.34517;0.781304;;;-0.0219309971780777;0.957537;0.003608;0.380042;4628;0.007563;0.901807;0.571429;0.101772;0.996392;0.042463;0.902081;0.081234;0.438484;0.818309;;;-0.020356999376773835;0.939759;0.002725;0.2718718240135594;0.493976;817;0.008568;0.903704;0.714286;0.101591;0.997275;0.060241
3;0.29337155446088203;0.90363;0.111988;0.34854;0.780773;;;0.010216000571727751;0.804671;0.016117;0.389006;4628;0.034356;0.915194;0.578616;0.101772;0.983883;0.195329;0.909425;0.115218;0.448665;0.819556;;;0.01362699862384796;0.795181;0.010899;0.26125802330882486;0.493976;817;0.0306;0.916667;0.68;0.101591;0.989101;0.204819
4;0.2919426171902757;0.899741;0.079328;0.363021;0.78749;;;-0.022443999454498292;0.961783;0.002646;0.393235;4628;0.006266;0.9015;0.62069;0.101772;0.997354;0.038217;0.902081;0.080653;0.454658;0.828994;;;-0.020938003102302552;0.951807;0.001362;0.26417290458553716;0.506024;817;0.00612;0.902709;0.8;0.101591;0.998638;0.048193
5;0.2851818910926297;0.903198;0.064945;0.373359;0.795863;;;-0.036827002570152284;0.898089;0.006014;0.406709;4628;0.015774;0.907135;0.657534;0.101772;0.993986;0.101911;0.906977;0.066053;0.471581;0.834559;;;-0.03553799692726135;0.891566;0.002725;0.2662140781303806;0.465909;817;0.013464;0.908189;0.818182;0.101591;0.997275;0.108434
6;0.2890382523108322;0.905791;0.11481;0.376264;0.789324;;;0.013037997379779814;0.779193;0.016599;0.399151;4628;0.037381;0.917621;0.601156;0.101772;0.983401;0.220807;0.913097;0.117309;0.460755;0.827238;;;0.015717996617794036;0.759036;0.010899;0.2579374422742147;0.46988;817;0.034272;0.920152;0.714286;0.101591;0.989101;0.240964
7;0.29041955977446476;0.90471;0.093914;0.380026;0.796268;;;-0.007857997819900514;0.883227;0.006014;0.409766;4628;0.017286;0.908531;0.6875;0.101772;0.993986;0.116773;0.908201;0.095421;0.468416;0.824037;;;-0.006169998684883118;0.86747;0.004087;0.2596355652393297;0.481928;817;0.017136;0.910336;0.785714;0.101591;0.995913;0.13253
8;0.2873640167643618;0.907952;0.080669;0.382219;0.796892;;;-0.02110299925518036;0.806794;0.011066;0.4;4628;0.029602;0.915386;0.664234;0.101772;0.988934;0.193206;0.915545;0.081991;0.46317;0.821772;;;-0.019599998036384583;0.759036;0.008174;0.25716612499430686;0.471264;817;0.031824;0.920354;0.769231;0.101591;0.991826;0.240964
9;0.2837477315703444;0.906655;0.07831;0.392347;0.799783;;;-0.023462002083778383;0.828025;0.010103;0.407643;4628;0.026577;0.913429;0.658537;0.101772;0.989897;0.171975;0.911873;0.079722;0.479769;0.83492;;;-0.021868997851371766;0.819277;0.00545;0.25404791765352724;0.488095;817;0.023256;0.914787;0.789474;0.101591;0.99455;0.180723
