epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.3214996586245458;0.898228;0.052687;0.319217;0.733676;;;-0.04908499951672554;1.0;0.0;0.336842;4628;0.0;0.898228;nan;0.101772;1.0;0.0;0.898409;0.053305;0.428102;0.781475;;;-0.0482859999332428;1.0;0.0;0.3011747478590674;0.421687;817;0.0;0.898409;nan;0.101591;1.0;0.0
1;0.3020308959517586;0.899741;0.078456;0.326605;0.739926;;;-0.023316000506401063;0.976645;0.000962;0.358811;4628;0.003241;0.900282;0.733333;0.101772;0.999038;0.023355;0.902081;0.079249;0.436445;0.789813;;;-0.022341997960567475;0.963855;0.0;0.27587258276806614;0.433735;817;0.003672;0.90172;1.0;0.101591;1.0;0.036145
2;0.2986920169178741;0.901253;0.13845;0.339109;0.745275;;;0.03667799670982361;0.815287;0.017561;0.383966;4628;0.034572;0.914056;0.54375;0.101772;0.982439;0.184713;0.910649;0.140586;0.442271;0.800991;;;0.0389950036611557;0.819277;0.006812;0.27886970321142834;0.445783;817;0.02448;0.91468;0.75;0.101591;0.993188;0.180723
3;0.29018980338074774;0.899957;0.07583;0.347304;0.749229;;;-0.025942002341270448;0.972399;0.001203;0.380042;4628;0.003889;0.900651;0.722222;0.101772;0.998797;0.027601;0.900857;0.076573;0.446982;0.797315;;;-0.025018000641822816;0.975904;0.0;0.2739755299667323;0.448276;817;0.002448;0.900613;1.0;0.101591;1.0;0.024096
4;0.2989799799389538;0.900389;0.105412;0.356522;0.755608;;;0.00363999892759323;0.968153;0.001203;0.391121;4628;0.004322;0.901042;0.75;0.101772;0.998797;0.031847;0.903305;0.106416;0.455645;0.804438;;;0.004825001915931701;0.951807;0.0;0.27471224213135287;0.445783;817;0.004896;0.902829;1.0;0.101591;1.0;0.048193
5;0.29633351150729476;0.902334;0.120204;0.355025;0.755771;;;0.018432001665115355;0.944798;0.001684;0.386412;4628;0.007131;0.903156;0.787879;0.101772;0.998316;0.055202;0.904529;0.122149;0.456345;0.804652;;;0.020557998081684112;0.939759;0.0;0.27514463594705413;0.445783;817;0.00612;0.903941;1.0;0.101591;1.0;0.060241
6;0.29540525757375213;0.902118;0.079597;0.354861;0.75467;;;-0.022175003692626954;0.932059;0.003368;0.380042;4628;0.009939;0.90419;0.695652;0.101772;0.996632;0.067941;0.904529;0.080583;0.458302;0.795903;;;-0.02100800130701065;0.939759;0.0;0.26993804901491764;0.433735;817;0.00612;0.903941;1.0;0.101591;1.0;0.060241
7;0.29239157349669737;0.904927;0.103935;0.363072;0.757001;;;0.002163003280639647;0.825902;0.012268;0.387841;4628;0.028738;0.913459;0.616541;0.101772;0.987732;0.174098;0.911873;0.1063;0.443095;0.801894;;;0.004708996376037597;0.831325;0.004087;0.2647678977382373;0.457831;817;0.020808;0.91375;0.823529;0.101591;0.995913;0.168675
8;0.29229120784596113;0.898876;0.064979;0.363977;0.760034;;;-0.036792998120307924;0.987261;0.000722;0.382664;4628;0.001945;0.899329;0.666667;0.101772;0.999278;0.012739;0.899633;0.065583;0.445513;0.803421;;;-0.0360080019030571;0.987952;0.0;0.2781968853291639;0.448276;817;0.001224;0.89951;1.0;0.101591;1.0;0.012048
9;0.2896487994011662;0.904278;0.105127;0.372737;0.762382;;;0.0033549993185996996;0.912951;0.003127;0.387755;4628;0.011668;0.90599;0.759259;0.101772;0.996873;0.087049;0.904529;0.10778;0.434467;0.804931;;;0.006189002057552337;0.927711;0.001362;0.26648267803570047;0.457831;817;0.008568;0.904938;0.857143;0.101591;0.998638;0.072289
10;0.2859669745728283;0.905359;0.090171;0.37339;0.764279;;;-0.011600998148441316;0.821656;0.012268;0.386412;4628;0.02917;0.913866;0.622222;0.101772;0.987732;0.178344;0.909425;0.091651;0.440602;0.807262;;;-0.009939999917507172;0.831325;0.006812;0.26286091845177084;0.481928;817;0.023256;0.913534;0.736842;0.101591;0.993188;0.168675
11;0.2902869281480564;0.903198;0.096114;0.376311;0.767857;;;-0.005657997831821443;0.927813;0.002646;0.389831;4628;0.009723;0.904648;0.755556;0.101772;0.997354;0.072187;0.903305;0.097945;0.452;0.811529;;;-0.003646002748966218;0.939759;0.001362;0.26347935382582277;0.481928;817;0.007344;0.903822;0.833333;0.101591;0.998638;0.060241
12;0.2867748872501745;0.905359;0.096363;0.384422;0.772241;;;-0.005408999428272249;0.876858;0.006014;0.401691;4628;0.017934;0.909131;0.698795;0.101772;0.993986;0.123142;0.906977;0.097866;0.450593;0.816864;;;-0.003725001255035401;0.879518;0.004087;0.26256607906525836;0.476744;817;0.015912;0.909204;0.769231;0.101591;0.995913;0.120482
13;0.2862158891975931;0.906439;0.118672;0.388416;0.777303;;;0.016899998381614684;0.857749;0.006976;0.408034;4628;0.020743;0.910856;0.697917;0.101772;0.993024;0.142251;0.908201;0.120854;0.44647;0.829815;;;0.019262997766971587;0.86747;0.004087;0.26403649568083526;0.472527;817;0.017136;0.910336;0.785714;0.101591;0.995913;0.13253
14;0.28784274790909337;0.906439;0.082999;0.388636;0.778904;;;-0.018773001536846162;0.853503;0.007457;0.404661;4628;0.021608;0.911219;0.69;0.101772;0.992543;0.146497;0.908201;0.083926;0.457046;0.832934;;;-0.0176650002989769;0.86747;0.004087;0.25746774294093305;0.488372;817;0.017136;0.910336;0.785714;0.101591;0.995913;0.13253
