epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.40132279948607;0.903846;0.100871;0.385579;0.812119;;;-0.0009010032863616957;0.757962;0.021169;0.413502;4628;0.043647;0.91934;0.564356;0.101772;0.978831;0.242038;0.906977;0.105047;0.423347;0.853353;;;0.003456002434730529;0.759036;0.017711;0.25230036766440445;0.465909;817;0.040392;0.919643;0.606061;0.101591;0.982289;0.240964
1;0.38126866569042017;0.900173;0.133842;0.390247;0.816893;;;0.03207000632572174;0.721868;0.029348;0.40552;4628;0.054667;0.922286;0.517787;0.101772;0.970652;0.278132;0.910649;0.139902;0.447293;0.854453;;;0.03831099565887451;0.674699;0.023161;0.25502215709760695;0.47619;817;0.053856;0.927555;0.613636;0.101591;0.976839;0.325301
2;0.3740282638929037;0.899092;0.163088;0.412;0.838089;;;0.06131599386024475;0.687898;0.0344;0.429175;4628;0.062662;0.925311;0.506897;0.101772;0.9656;0.312102;0.906977;0.168775;0.469647;0.864712;;;0.06718400712871551;0.638554;0.031335;0.2631704924557463;0.46988;817;0.064871;0.930628;0.566038;0.101591;0.968665;0.361446
3;0.36586477541168305;0.905791;0.159959;0.437946;0.844477;;;0.05818700332927704;0.719745;0.023334;0.447983;4628;0.049481;0.922937;0.576419;0.101772;0.976666;0.280255;0.913097;0.16373;0.494844;0.872443;;;0.06213899548912048;0.710843;0.016349;0.26004437583805295;0.494118;817;0.044064;0.924456;0.666667;0.101591;0.983651;0.289157
4;0.3613994975410754;0.902982;0.135126;0.442938;0.854581;;;0.03335399468231201;0.694268;0.029348;0.45339;4628;0.057476;0.925034;0.541353;0.101772;0.970652;0.305732;0.914321;0.137697;0.489545;0.86875;;;0.036105996331214904;0.674699;0.019074;0.24232283791793896;0.488889;817;0.050184;0.927835;0.658537;0.101591;0.980926;0.325301
5;0.34910053221483467;0.906223;0.126814;0.449349;0.853031;;;0.025041992857933043;0.713376;0.023575;0.465116;4628;0.050346;0.923549;0.579399;0.101772;0.976425;0.286624;0.913097;0.130871;0.481674;0.872427;;;0.0292799979057312;0.698795;0.017711;0.23725100351791634;0.481928;817;0.046512;0.925546;0.657895;0.101591;0.982289;0.301205
6;0.33561506137287705;0.909248;0.121707;0.480761;0.866045;;;0.019934999838352202;0.719745;0.019485;0.48847;4628;0.046024;0.923216;0.619718;0.101772;0.980515;0.280255;0.913097;0.123593;0.478173;0.86527;;;0.022002002557754516;0.710843;0.016349;0.23795030060403205;0.46988;817;0.044064;0.924456;0.666667;0.101591;0.983651;0.289157
7;0.32893554340531184;0.905791;0.143351;0.481108;0.868495;;;0.041579003527641295;0.622081;0.0344;0.5;4628;0.06936;0.931971;0.554517;0.101772;0.9656;0.377919;0.910649;0.148812;0.495833;0.87832;;;0.04722099598312378;0.590361;0.032698;0.24062418799979596;0.46988;817;0.070991;0.935441;0.586207;0.101591;0.967302;0.409639
8;0.3298977108458662;0.909032;0.116899;0.475936;0.868592;;;0.015126998618125914;0.653928;0.027183;0.458599;4628;0.059637;0.929228;0.59058;0.101772;0.972817;0.346072;0.913097;0.122938;0.512258;0.875086;;;0.02134699966573715;0.614458;0.027248;0.23025660360439462;0.511364;817;0.063647;0.933333;0.615385;0.101591;0.972752;0.385542
9;0.32205764948126786;0.907519;0.156818;0.492758;0.876592;;;0.055046002462387084;0.615711;0.033197;0.488323;4628;0.068928;0.932699;0.567398;0.101772;0.966803;0.384289;0.899633;0.159069;0.508369;0.879272;;;0.0574780016746521;0.650602;0.038147;0.24595338566687;0.505882;817;0.069767;0.928947;0.508772;0.101591;0.961853;0.349398
