epoch;loss;train_acc;train_auprc;train_auroc;train_dem_val;train_dem_var;train_minpse;train_nb;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_dem_val;val_dem_var;val_loss;val_minpse;val_nb;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.3591726527930394;0.872624;0.453136;0.802546;;;0.462582;14681;0.877775;0.664789;0.135345;0.990626;0.118772;0.873371;0.455798;0.811033;;;0.32131123387391786;0.470455;3222;0.880115;0.648936;0.13532;0.988155;0.139908
1;0.33225993144622606;0.876439;0.475471;0.808429;;;0.475879;14681;0.883207;0.67835;0.135345;0.987711;0.165576;0.876164;0.470313;0.811075;;;0.31503695570519813;0.465909;3222;0.884133;0.66087;0.13532;0.986001;0.174312
2;0.3282314798376064;0.87855;0.484065;0.811467;;;0.47717;14681;0.888154;0.662939;0.135345;0.983378;0.208858;0.878957;0.478165;0.815406;;;0.31874866456181866;0.476298;3222;0.890737;0.647436;0.13532;0.980258;0.231651
3;0.3290493963305946;0.87712;0.488259;0.81382;;;0.480121;14681;0.881623;0.72155;0.135345;0.990941;0.149975;0.879268;0.483993;0.817131;;;0.31299608011633473;0.477064;3222;0.88352;0.742268;0.13532;0.991027;0.165138
4;0.32593185603989094;0.879708;0.489648;0.815267;;;0.483677;14681;0.887738;0.687606;0.135345;0.985505;0.203825;0.88144;0.489261;0.820667;;;0.3104524697430899;0.470199;3222;0.891276;0.68;0.13532;0.982771;0.233945
5;0.32351019521774904;0.879504;0.495903;0.817296;;;0.484925;14681;0.884115;0.736957;0.135345;0.990468;0.170609;0.880199;0.499202;0.820927;;;0.3104409355598529;0.480549;3222;0.885109;0.735849;0.13532;0.98995;0.178899
6;0.3249757996700741;0.878891;0.499511;0.81977;;;0.485915;14681;0.882106;0.763224;0.135345;0.992595;0.152491;0.879578;0.500789;0.824432;;;0.3118529444818242;0.478261;3222;0.884295;0.735294;0.13532;0.990309;0.172018
7;0.3191976062235362;0.879708;0.499496;0.819594;;;0.479879;14681;0.883116;0.763723;0.135345;0.992201;0.161047;0.879578;0.499095;0.820674;;;0.31095207984369044;0.474771;3222;0.885283;0.718182;0.13532;0.988873;0.181193
8;0.31972401761146324;0.87712;0.49989;0.820523;;;0.486663;14681;0.87939;0.778116;0.135345;0.994249;0.128837;0.877716;0.495059;0.823244;;;0.3117255330372493;0.485327;3222;0.880165;0.776316;0.13532;0.993898;0.135321
9;0.31864468223662024;0.880798;0.502112;0.820546;;;0.48366;14681;0.88792;0.706087;0.135345;0.986687;0.204328;0.88113;0.49687;0.819869;;;0.30846250160816363;0.480549;3222;0.889718;0.690648;0.13532;0.984566;0.220183
10;0.3188129634002064;0.882706;0.515548;0.825674;;;0.497988;14681;0.891633;0.69688;0.135345;0.983929;0.236034;0.882061;0.512989;0.825258;;;0.3036165208567898;0.496583;3222;0.894944;0.659091;0.13532;0.978464;0.266055
11;0.31886715984990627;0.881956;0.507391;0.823182;;;0.489683;14681;0.889323;0.710265;0.135345;0.986214;0.215903;0.883302;0.506565;0.823835;;;0.3053017909448388;0.481651;3222;0.891742;0.705479;0.13532;0.984566;0.236239
12;0.3167056725688741;0.881003;0.507578;0.823976;;;0.488676;14681;0.886792;0.726415;0.135345;0.988577;0.193759;0.884544;0.505221;0.82428;;;0.3062522163178742;0.477273;3222;0.889858;0.753968;0.13532;0.988873;0.21789
