epoch;loss;train_acc;train_apr;train_auprc;train_auroc;train_dem_val;train_dem_var;train_diff;train_fnr;train_fpr;train_minpse;train_nb;train_ppr;train_prec0;train_prec1;train_prev;train_rec0;train_rec1;val_acc;val_apr;val_auprc;val_auroc;val_dem_val;val_dem_var;val_diff;val_fnr;val_fpr;val_loss;val_minpse;val_nb;val_ppr;val_prec0;val_prec1;val_prev;val_rec0;val_rec1
0;0.3412620556077632;0.878278;0.115548;0.487626;0.830058;;;-0.01979700026035308;0.724711;0.027336;0.473578;14681;0.060895;0.895554;0.611857;0.135345;0.972664;0.275289;0.876474;0.119701;0.476936;0.824234;;;-0.015619001932144161;0.704128;0.032663;0.3113780299711494;0.475446;3222;0.068281;0.897735;0.586364;0.13532;0.967337;0.295872
1;0.3237175016418657;0.8793;0.103657;0.522241;0.842565;;;-0.03168800023317336;0.854555;0.00583;0.49925;14681;0.024726;0.881408;0.796143;0.135345;0.99417;0.145445;0.880819;0.107517;0.513945;0.835173;;;-0.02780300343751907;0.83945;0.006461;0.3035480269062674;0.488739;3222;0.027312;0.883216;0.795455;0.13532;0.993539;0.16055
2;0.3161221351866566;0.882501;0.139915;0.533562;0.852311;;;0.004570004372596748;0.641168;0.035529;0.51233;14681;0.079286;0.905748;0.612543;0.135345;0.964471;0.358832;0.878026;0.144307;0.527516;0.843139;;;0.00898700242519379;0.637615;0.041278;0.29430897249467325;0.5;3222;0.08473;0.905731;0.578755;0.13532;0.958722;0.362385
3;0.31273668079778644;0.884681;0.111638;0.538937;0.853947;;;-0.023706997902393334;0.695018;0.024579;0.504024;14681;0.06253;0.899659;0.660131;0.135345;0.975421;0.304982;0.882061;0.116602;0.528115;0.842698;;;-0.018717996425628658;0.672018;0.031228;0.2974685518814495;0.502294;3222;0.071384;0.902072;0.621739;0.13532;0.968772;0.327982
4;0.3079609217821403;0.884613;0.110793;0.549375;0.856596;;;-0.024551998050212853;0.771012;0.012762;0.515045;14681;0.042027;0.891069;0.737439;0.135345;0.987238;0.228988;0.884233;0.115472;0.534621;0.845575;;;-0.019848003633022304;0.756881;0.015434;0.29296813513979564;0.503432;3222;0.046245;0.892613;0.711409;0.13532;0.984566;0.243119
5;0.30516675896369144;0.890198;0.131369;0.566862;0.863556;;;-0.003976005287170403;0.688978;0.019143;0.524648;14681;0.058647;0.900941;0.71777;0.135345;0.980857;0.311022;0.883302;0.135746;0.546162;0.850373;;;0.00042600219726562916;0.699541;0.025485;0.28686874885687835;0.520642;3222;0.062694;0.899007;0.648515;0.13532;0.974515;0.300459
6;0.302822213711868;0.884136;0.092908;0.558412;0.864881;;;-0.04243699756383895;0.788626;0.010556;0.525075;14681;0.037736;0.889078;0.758123;0.135345;0.989444;0.211374;0.886096;0.097093;0.540449;0.850687;;;-0.03822699899196624;0.766055;0.011845;0.29764778320090807;0.508009;3222;0.041899;0.891804;0.755556;0.13532;0.988155;0.233945
7;0.29667421788904735;0.89013;0.127747;0.573699;0.868281;;;-0.007598000736236565;0.709109;0.016071;0.53699;14681;0.053266;0.898626;0.73913;0.135345;0.983929;0.290891;0.884854;0.132216;0.546582;0.853132;;;-0.0031039934825897175;0.713303;0.021536;0.28527326094741634;0.518349;3222;0.057418;0.897596;0.675676;0.13532;0.978464;0.286697
8;0.29850781769703294;0.889176;0.114979;0.567234;0.864023;;;-0.020366001100540154;0.719175;0.015598;0.525415;14681;0.051495;0.897379;0.738095;0.135345;0.984402;0.280825;0.883302;0.119606;0.541198;0.852046;;;-0.01571399683475494;0.722477;0.021895;0.28794904742771466;0.515837;3222;0.056487;0.896382;0.664835;0.13532;0.978105;0.277523
9;0.29942957535396236;0.890743;0.134189;0.581707;0.871662;;;-0.0011560052347183158;0.684952;0.019143;0.542543;14681;0.059192;0.901462;0.720368;0.135345;0.980857;0.315048;0.885785;0.138806;0.552053;0.857947;;;0.003486000351905827;0.681193;0.025485;0.2823847939996228;0.527523;3222;0.065177;0.901394;0.661905;0.13532;0.974515;0.318807
10;0.2953906138339378;0.888632;0.127963;0.588024;0.875033;;;-0.00738199350357055;0.746351;0.011974;0.546049;14681;0.044684;0.89426;0.768293;0.135345;0.988026;0.253649;0.882682;0.131879;0.559682;0.862495;;;-0.003440998144149776;0.756881;0.017229;0.2815373769315557;0.52027;3222;0.047796;0.892438;0.688312;0.13532;0.982771;0.243119
11;0.29215822810856257;0.889585;0.113893;0.587485;0.874778;;;-0.02145199772834777;0.718168;0.015283;0.542526;14681;0.051359;0.897537;0.742706;0.135345;0.984717;0.281832;0.882992;0.118305;0.557233;0.861157;;;-0.017015002317428585;0.727064;0.021536;0.28187731513088715;0.516055;3222;0.055556;0.895826;0.664804;0.13532;0.978464;0.272936
12;0.29303927709950583;0.891288;0.134502;0.592095;0.875237;;;-0.0008430063438415458;0.712129;0.014259;0.547559;14681;0.051291;0.898406;0.759628;0.135345;0.985741;0.287871;0.885475;0.138694;0.550337;0.859427;;;0.003374003224372868;0.722477;0.019383;0.28209233231273667;0.518349;3222;0.054314;0.89662;0.691429;0.13532;0.980617;0.277523
13;0.2911809346684358;0.890811;0.127841;0.58941;0.876896;;;-0.007504004211425774;0.706593;0.015677;0.5385;14681;0.053266;0.898986;0.745524;0.135345;0.984323;0.293407;0.886406;0.131943;0.555088;0.859447;;;-0.0033769976568222004;0.713303;0.019742;0.2810199485616533;0.512304;3222;0.055866;0.897765;0.694444;0.13532;0.980258;0.286697
14;0.29304250350832134;0.891629;0.124087;0.591709;0.87554;;;-0.011258001596927636;0.698037;0.016071;0.548014;14681;0.054765;0.90005;0.746269;0.135345;0.983929;0.301963;0.882371;0.128176;0.54962;0.855446;;;-0.007143996305465694;0.720183;0.023331;0.28359367701668386;0.527149;3222;0.058038;0.89654;0.652406;0.13532;0.976669;0.279817
15;0.28731901708921315;0.890675;0.102285;0.592926;0.87635;;;-0.033060002298355096;0.75994;0.007484;0.543533;14681;0.038962;0.892976;0.833916;0.135345;0.992516;0.24006;0.884544;0.105383;0.550549;0.851703;;;-0.029936998732089992;0.777523;0.011845;0.29122871059454947;0.520642;3222;0.040348;0.890362;0.746154;0.13532;0.988155;0.222477
